time unit,yaw,pitch,roll
1784180932,-7.01,-2.52,-0.2
1784180932,-7.0,-2.5,-0.22
1784180932,-7.3,-2.43,-0.19
1784180932,-7.04,-2.53,-0.19
1784180932,-6.91,-2.62,-0.25
1784180933,-7.05,-2.51,-0.22
1784180933,-6.97,-2.66,-0.35
1784180933,-7.0,-2.58,-0.3
1784180933,-7.04,-2.53,-0.26
1784180933,-7.03,-2.43,-0.28
1784180933,-7.02,-2.47,-0.27
1784180933,-7.04,-2.36,-0.21
1784180933,-7.04,-2.32,-0.14
1784180933,-7.05,-2.43,-0.16
1784180933,-6.98,-2.46,-0.16
1784180934,-7.08,-2.59,-0.12
1784180934,-6.91,-2.55,-0.17
1784180934,-7.04,-2.49,-0.07
1784180934,-7.05,-2.62,-0.07
1784180934,-6.8,-2.55,-0.13
1784180934,-6.87,-2.54,-0.09
1784180934,-6.92,-2.57,-0.02
1784180934,-6.92,-2.58,-0.02
1784180934,-6.9,-2.59,-0.06
1784180934,-6.84,-2.61,-0.09
1784180935,-6.85,-2.62,-0.09
1784180935,-6.86,-2.62,-0.06
1784180935,-6.86,-2.61,-0.04
1784180935,-6.86,-2.61,-0.04
1784180935,-6.86,-2.61,-0.04
1784180935,-6.86,-2.61,-0.04
1784180936,-6.86,-2.61,-0.04
1784180936,-6.86,-2.61,-0.04
1784180936,-6.86,-2.61,-0.04
1784180936,-6.86,-2.61,-0.04
1784180936,-6.86,-2.61,-0.04
1784180936,-6.86,-2.61,-0.04
1784180936,-4.73,-2.58,-0.06
1784180936,-1.11,-2.63,-0.29
1784180936,2.9,-2.61,-0.53
1784180936,7.08,-2.64,-0.66
1784180937,11.38,-2.59,-0.9
1784180937,15.71,-2.57,-1.16
1784180937,20.11,-2.57,-1.33
1784180937,24.72,-2.53,-1.52
1784180937,28.99,-2.39,-1.74
1784180937,33.56,-2.33,-1.97
1784180937,38.13,-2.19,-2.07
1784180937,42.42,-2.08,-2.2
1784180937,47.03,-1.9,-2.34
1784180937,55.92,-1.6,-2.51
1784180938,60.48,-1.4,-2.69
1784180938,64.78,-1.27,-2.76
1784180938,69.38,-1.04,-2.82
1784180938,73.79,-0.92,-2.97
1784180938,78.32,-0.71,-3.04
1784180938,82.42,-0.51,-3.0
1784180938,83.51,-0.48,-3.01
1784180938,83.56,-0.49,-3.02
1784180938,83.57,-0.48,-3.02
1784180938,83.57,-0.48,-3.02
1784180939,83.57,-0.49,-3.02
1784180939,83.57,-0.49,-3.01
1784180939,83.57,-0.49,-3.01
1784180939,83.57,-0.49,-3.02
1784180939,83.57,-0.48,-3.01
1784180939,83.57,-0.48,-3.01
1784180939,83.49,-0.32,-2.92
1784180939,83.19,-0.5,-2.96
1784180939,83.58,-0.59,-3.03
1784180939,83.68,-0.53,-3.04
1784180940,83.71,-0.62,-3.12
1784180940,83.63,-0.59,-3.14
1784180940,83.6,-0.59,-3.12
1784180940,83.6,-0.7,-3.15
1784180940,83.54,-0.57,-3.1
1784180940,83.51,-0.68,-3.16
1784180940,83.61,-0.68,-3.13
1784180940,83.53,-0.7,-3.06
1784180940,83.52,-0.85,-3.03
1784180940,83.56,-0.86,-3.16
1784180941,83.52,-1.02,-3.19
1784180941,83.58,-1.09,-3.21
1784180941,83.59,-1.01,-3.33
1784180941,83.5,-1.13,-3.3
1784180941,83.55,-1.08,-3.31
1784180941,83.56,-1.06,-3.29
1784180941,83.56,-1.08,-3.33
1784180941,83.62,-1.09,-3.37
1784180941,83.79,-1.13,-3.4
1784180941,83.78,-1.15,-3.39
1784180942,83.79,-1.15,-3.41
1784180942,83.79,-1.15,-3.41
1784180942,83.79,-1.15,-3.4
1784180942,83.79,-1.15,-3.4
1784180942,83.79,-1.15,-3.41
1784180942,83.79,-1.15,-3.41
