time unit,speed,angle,timestamp,stable
1784180932,"[11, -5, -6, 6]","[24788, 12557, 7621, 25075]","[528840, 528841, 528843, 528838]","[0, 0, 0, 0]"
1784180932,"[47, -76, -57, 55]","[26623, 10025, 5605, 26768]","[528900, 528901, 528903, 528898]","[0, 0, 0, 0]"
1784180932,"[60, -75, -65, 46]","[30200, 6393, 1488, 30149]","[528960, 528961, 528963, 528958]","[0, 0, 0, 0]"
1784180932,"[54, -43, -41, 47]","[209, 3534, 31512, 180]","[529020, 529021, 529023, 529018]","[0, 0, 0, 0]"
1784180933,"[62, -75, -68, 74]","[3511, 587, 28115, 3151]","[529080, 529081, 529083, 529078]","[0, 0, 0, 0]"
1784180933,"[66, -58, -59, 61]","[7219, 29525, 24397, 7011]","[529140, 529141, 529143, 529138]","[0, 0, 0, 0]"
1784180933,"[54, -57, -69, 57]","[10349, 26564, 21303, 9908]","[529200, 529201, 529203, 529198]","[0, 0, 0, 0]"
1784180933,"[80, -74, -64, 68]","[14261, 22679, 17264, 13888]","[529260, 529261, 529263, 529258]","[0, 0, 0, 0]"
1784180933,"[63, -59, -64, 52]","[17839, 19104, 13649, 17305]","[529320, 529321, 529323, 529318]","[0, 0, 0, 0]"
1784180933,"[75, -81, -79, 63]","[21570, 15473, 9884, 21011]","[529380, 529381, 529383, 529378]","[0, 0, 0, 0]"
1784180933,"[69, -63, -46, 77]","[25525, 11505, 5746, 25041]","[529440, 529441, 529443, 529438]","[0, 0, 0, 0]"
1784180933,"[60, -63, -67, 75]","[29143, 7842, 2130, 28583]","[529500, 529501, 529503, 529498]","[0, 0, 0, 0]"
1784180933,"[99, -80, -82, 76]","[363, 3735, 30713, 32697]","[529560, 529561, 529563, 529558]","[0, 0, 0, 0]"
1784180933,"[63, -65, -70, 72]","[4130, 32682, 26956, 3802]","[529620, 529621, 529623, 529618]","[0, 0, 0, 0]"
1784180934,"[61, -73, -75, 78]","[7975, 28824, 23065, 7679]","[529680, 529681, 529683, 529678]","[0, 0, 0, 0]"
1784180934,"[48, -51, -20, 47]","[11523, 25182, 19730, 11419]","[529740, 529741, 529743, 529738]","[0, 0, 0, 0]"
1784180934,"[51, -38, -48, 31]","[13962, 22791, 17810, 13832]","[529800, 529801, 529803, 529798]","[0, 0, 0, 0]"
1784180934,"[57, -46, -38, 49]","[16626, 20219, 15153, 16563]","[529860, 529861, 529863, 529858]","[0, 0, 0, 0]"
1784180934,"[21, -18, -22, 17]","[18366, 18865, 13881, 18374]","[529920, 529921, 529923, 529918]","[0, 0, 0, 0]"
1784180934,"[24, -17, -20, 16]","[19369, 17891, 12887, 19202]","[529980, 529981, 529983, 529978]","[0, 0, 0, 0]"
1784180934,"[20, -11, -11, 18]","[20190, 17065, 12136, 20027]","[530040, 530041, 530043, 530038]","[0, 0, 0, 0]"
1784180934,"[9, -11, -10, 3]","[20813, 16467, 11570, 20736]","[530100, 530101, 530103, 530098]","[0, 0, 0, 0]"
1784180934,"[8, -14, -14, 12]","[21282, 16002, 11049, 21176]","[530160, 530161, 530163, 530158]","[0, 0, 0, 0]"
1784180934,"[0, -5, -7, 5]","[21659, 15638, 10619, 21520]","[530220, 530221, 530223, 530218]","[0, 0, 0, 0]"
1784180935,"[3, -6, 0, 6]","[21803, 15477, 10474, 21652]","[530280, 530281, 530283, 530278]","[0, 0, 0, 0]"
1784180935,"[-5, 3, 4, -5]","[21759, 15527, 10521, 21610]","[530340, 530341, 530343, 530338]","[0, 0, 0, 0]"
1784180935,"[-5, 4, 5, -1]","[21601, 15683, 10667, 21464]","[530400, 530401, 530403, 530398]","[0, 0, 0, 0]"
1784180935,"[-2, -7, 5, -1]","[21441, 15834, 10829, 21311]","[530460, 530461, 530463, 530458]","[0, 0, 0, 0]"
1784180935,"[3, -2, 6, -2]","[21399, 15868, 10865, 21271]","[530520, 530521, 530523, 530518]","[0, 0, 0, 0]"
1784180935,"[1, -1, -1, 1]","[21456, 15816, 10802, 21322]","[530580, 530581, 530583, 530578]","[0, 0, 0, 0]"
1784180935,"[1, -2, 0, 5]","[21503, 15773, 10755, 21366]","[530640, 530641, 530643, 530638]","[0, 0, 0, 0]"
1784180936,"[0, 3, 2, -1]","[21485, 15791, 10776, 21351]","[530700, 530701, 530703, 530698]","[0, 0, 0, 0]"
1784180936,"[5, -6, 0, -2]","[21473, 15800, 10786, 21339]","[530760, 530761, 530763, 530758]","[0, 0, 0, 0]"
1784180936,"[1, -1, 3, -10]","[21488, 15786, 10771, 21353]","[530820, 530821, 530823, 530818]","[0, 0, 0, 0]"
1784180936,"[3, 0, -2, 1]","[21483, 15791, 10777, 21349]","[530880, 530881, 530883, 530878]","[0, 0, 0, 0]"
1784180936,"[-1, -9, -4, 7]","[21480, 15793, 10780, 21346]","[530940, 530941, 530943, 530938]","[0, 0, 0, 0]"
1784180936,"[-4, -1, 2, 2]","[21485, 15789, 10774, 21351]","[531000, 531001, 531003, 530998]","[0, 0, 0, 0]"
1784180936,"[0, -1, 8, 0]","[21481, 15793, 10779, 21347]","[531060, 531061, 531063, 531058]","[0, 0, 0, 0]"
1784180936,"[-2, -1, 2, 1]","[21483, 15792, 10776, 21348]","[531120, 531121, 531123, 531118]","[0, 0, 0, 0]"
1784180936,"[-25, -22, -37, -37]","[20914, 15047, 10000, 20492]","[531180, 531181, 531183, 531178]","[0, 0, 0, 0]"
1784180936,"[-19, -32, -31, -30]","[19625, 13808, 8476, 19054]","[531240, 531241, 531243, 531238]","[0, 0, 0, 0]"
1784180936,"[-27, -20, -25, -28]","[18247, 12265, 7000, 17595]","[531300, 531301, 531303, 531298]","[0, 0, 0, 0]"
1784180936,"[-35, -28, -18, -26]","[16598, 10653, 5644, 16275]","[531360, 531361, 531363, 531358]","[0, 0, 0, 0]"
1784180937,"[-23, -23, -37, -30]","[14996, 9274, 4122, 14597]","[531420, 531421, 531423, 531418]","[0, 0, 0, 0]"
1784180937,"[-31, -26, -33, -28]","[13361, 7703, 2395, 12864]","[531480, 531481, 531483, 531478]","[0, 0, 0, 0]"
1784180937,"[-36, -33, -32, -20]","[11842, 6096, 797, 11384]","[531540, 531541, 531543, 531538]","[0, 0, 0, 0]"
1784180937,"[-30, -24, -30, -37]","[10209, 4326, 31828, 9774]","[531600, 531601, 531603, 531598]","[0, 0, 0, 0]"
1784180937,"[-25, -24, -28, -33]","[6874, 1310, 28664, 6302]","[531720, 531721, 531723, 531718]","[0, 0, 0, 0]"
1784180937,"[-33, -31, -36, -25]","[5205, 32354, 27031, 4729]","[531780, 531781, 531783, 531778]","[0, 0, 0, 0]"
1784180937,"[-28, -39, -35, -23]","[3648, 30644, 25382, 3334]","[531840, 531841, 531843, 531838]","[0, 0, 0, 0]"
1784180937,"[-31, -24, -26, -39]","[2036, 28980, 23627, 1590]","[531900, 531901, 531903, 531898]","[0, 0, 0, 0]"
1784180937,"[-33, -33, -23, -25]","[350, 27537, 22103, 32682]","[531960, 531961, 531963, 531958]","[0, 0, 0, 0]"
1784180937,"[-24, -33, -33, -17]","[31428, 25769, 20541, 30991]","[532020, 532021, 532023, 532018]","[0, 0, 0, 0]"
1784180938,"[-34, -31, -33, -36]","[29852, 24056, 18712, 29412]","[532080, 532081, 532083, 532078]","[0, 0, 0, 0]"
1784180938,"[-34, -27, -24, -34]","[28322, 22581, 17084, 27792]","[532140, 532141, 532143, 532138]","[0, 0, 0, 0]"
1784180938,"[-36, -32, -26, -20]","[24922, 19369, 13913, 24387]","[532260, 532261, 532263, 532258]","[0, 0, 0, 0]"
1784180938,"[-25, -29, -28, -28]","[23384, 17485, 12137, 23006]","[532320, 532321, 532323, 532318]","[0, 0, 0, 0]"
1784180938,"[-21, -16, -17, -26]","[21920, 16003, 10608, 21432]","[532380, 532381, 532383, 532378]","[0, 0, 0, 0]"
1784180938,"[-6, 5, 0, -6]","[21256, 15802, 10271, 20621]","[532440, 532441, 532443, 532438]","[0, 0, 0, 0]"
1784180938,"[-10, 3, 1, -6]","[21021, 16029, 10470, 20337]","[532500, 532501, 532503, 532498]","[0, 0, 0, 0]"
1784180938,"[-2, -2, 6, -5]","[20831, 16191, 10657, 20074]","[532560, 532561, 532563, 532558]","[0, 0, 0, 0]"
1784180938,"[4, -1, -2, -6]","[20741, 16286, 10765, 19952]","[532620, 532621, 532623, 532618]","[0, 0, 0, 0]"
1784180939,"[1, 1, -6, 1]","[20748, 16278, 10750, 19957]","[532680, 532681, 532683, 532678]","[0, 0, 0, 0]"
1784180939,"[-2, 1, 5, -2]","[20797, 16226, 10687, 20019]","[532740, 532741, 532743, 532738]","[0, 0, 0, 0]"
1784180939,"[-3, 3, 0, 1]","[20826, 16197, 10655, 20059]","[532800, 532801, 532803, 532798]","[0, 0, 0, 0]"
1784180939,"[4, -14, 6, 0]","[20822, 16202, 10662, 20053]","[532860, 532861, 532863, 532858]","[0, 0, 0, 0]"
1784180939,"[4, -5, -6, -4]","[20815, 16211, 10671, 20041]","[532920, 532921, 532923, 532918]","[0, 0, 0, 0]"
1784180939,"[4, -5, -4, -2]","[20820, 16205, 10663, 20049]","[532980, 532981, 532983, 532978]","[0, 0, 0, 0]"
1784180939,"[8, -11, -13, 16]","[20876, 16087, 10589, 20160]","[533040, 533041, 533043, 533038]","[0, 0, 0, 0]"
