time unit,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1784180932,-0.00745,0.01729,-1.00521,0.00581,0.00204,0.00203
1784180932,0.01864,0.01317,-0.99889,-0.01869,0.02747,0.0133
1784180932,0.28514,-0.02508,-1.02945,-0.06761,0.01075,-0.08394
1784180932,-0.05579,-0.00183,-0.98896,0.0545,-0.03757,0.12554
1784180932,-0.09422,0.0206,-1.00306,-0.02585,0.00902,0.01155
1784180933,0.22168,0.04589,-1.02149,0.03266,-0.01948,-0.03703
1784180933,0.09324,-0.00102,-0.98698,0.04711,0.0608,0.01965
1784180933,0.00646,0.02928,-1.00595,0.05396,-0.0461,0.00025
1784180933,-0.03501,0.06553,-0.96995,-0.01789,0.01418,-0.00959
1784180933,0.10328,-0.02508,-1.02963,0.00777,0.00189,0.02474
1784180933,-0.11278,0.02659,-0.98548,0.09774,-0.00014,-0.02703
1784180933,0.0636,0.08429,-1.00144,-0.04522,0.03343,-0.01454
1784180933,0.00046,-0.01221,-1.03166,-0.01749,-0.03173,0.03363
1784180933,-0.03566,-0.0126,-0.91619,-0.01588,-0.00756,-0.00178
1784180934,0.09826,0.02722,-1.0198,-0.0015,0.02845,-0.00241
1784180934,-0.25501,-0.00225,-0.96811,-0.04091,0.00433,0.08649
1784180934,0.02227,6e-05,-0.98513,0.05707,0.03571,-0.00265
1784180934,-0.04566,0.00714,-0.99303,-0.02633,-0.00757,-0.00672
1784180934,-0.17023,0.02749,-0.99293,-0.02059,0.03077,0.04005
1784180934,0.0016,0.01193,-1.0006,0.01471,0.01374,-0.01419
1784180934,-0.03861,0.03845,-1.00711,0.02657,-0.00918,-0.01966
1784180934,-0.01144,0.0109,-1.00385,0.00223,0.00193,0.00417
1784180934,-0.02078,0.01136,-1.00515,-0.00366,0.00088,0.00731
1784180934,-0.02954,0.00879,-1.00431,-0.00083,0.00067,0.01472
1784180935,-0.02786,0.01178,-1.00395,0.00259,0.00287,0.00721
1784180935,-0.01576,0.01605,-1.00232,0.00853,0.0071,0.00018
1784180935,-0.00928,0.01546,-1.00321,0.00505,0.00706,0.00192
1784180935,0.00396,0.01546,-1.00456,0.00584,0.00757,0.00526
1784180935,0.00295,0.01517,-1.00415,0.00105,0.00323,0.00367
1784180935,-0.00556,0.01455,-1.00284,0.00205,0.00196,0.00258
1784180935,-0.01382,0.01404,-1.00332,0.00287,0.0038,0.00249
1784180936,-0.00788,0.01437,-1.00308,0.00392,0.00427,0.00232
1784180936,-0.00341,0.0155,-1.00433,0.00336,0.00367,0.00269
1784180936,-0.00967,0.01418,-1.0056,0.00422,0.00341,0.00184
1784180936,-0.00665,0.01564,-1.00484,0.00587,0.00212,0.00266
1784180936,-0.00566,0.01569,-1.00384,0.00414,0.00208,0.00257
1784180936,-0.00848,0.01617,-1.00218,0.0028,0.00719,0.00203
1784180936,-0.00608,0.01614,-1.00302,0.00394,0.00289,0.00491
1784180936,-0.00728,0.01531,-1.00509,0.00348,0.00458,0.00375
1784180936,-0.02828,-0.12366,-1.04548,-0.02177,0.00433,0.79586
1784180936,0.00489,0.00406,-0.98866,-0.00833,-0.00935,0.64673
1784180936,-0.00543,0.04311,-1.01381,-0.02248,0.00303,0.65556
