time unit,x,y,z
1784180932,0.0,0.0,0.0
1784180932,0.00389,-0.00104,0.0
1784180932,0.03736,-0.00531,0.0
1784180932,0.07387,-0.00982,0.0
1784180932,0.09612,-0.01216,0.0
1784180933,0.13349,-0.01746,0.0
1784180933,0.16389,-0.02137,0.0
1784180933,0.19467,-0.02619,0.0
1784180933,0.23447,-0.03112,0.0
1784180933,0.26459,-0.03591,0.0
1784180933,0.30354,-0.04131,0.0
1784180933,0.33908,-0.04518,0.0
1784180933,0.37407,-0.04967,0.0
1784180933,0.41514,-0.05468,0.0
1784180933,0.44808,-0.05907,0.0
1784180934,0.50312,-0.06491,0.0
1784180934,0.52132,-0.06537,0.0
1784180934,0.54689,-0.06927,0.0
1784180934,0.56179,-0.07118,0.0
1784180934,0.56825,-0.07256,0.0
1784180934,0.57553,-0.07359,0.0
1784180934,0.58094,-0.07439,0.0
1784180934,0.58527,-0.07506,0.0
1784180934,0.58846,-0.07565,0.0
1784180935,0.58952,-0.07578,0.0
1784180935,0.58876,-0.07589,0.0
1784180935,0.58745,-0.07544,0.0
1784180935,0.58604,-0.07507,0.0
1784180935,0.58578,-0.07469,0.0
1784180935,0.58565,-0.07464,0.0
1784180935,0.58542,-0.07462,0.0
1784180936,0.58552,-0.07457,0.0
1784180936,0.58555,-0.07456,0.0
1784180936,0.58549,-0.07452,0.0
1784180936,0.58557,-0.07452,0.0
1784180936,0.58556,-0.07451,0.0
1784180936,0.5856,-0.0745,0.0
1784180936,0.58466,-0.07683,0.0
1784180936,0.58449,-0.07907,0.0
1784180936,0.58508,-0.07934,0.0
1784180936,0.58476,-0.078,0.0
1784180937,0.58387,-0.07832,0.0
1784180937,0.58502,-0.07891,0.0
1784180937,0.58623,-0.0783,0.0
1784180937,0.58672,-0.07759,0.0
1784180937,0.58587,-0.07808,0.0
1784180937,0.58595,-0.07951,0.0
1784180937,0.58609,-0.07837,0.0
1784180937,0.58691,-0.07678,0.0
1784180937,0.58818,-0.0771,0.0
1784180937,0.58722,-0.07815,0.0
1784180938,0.58869,-0.07714,0.0
1784180938,0.58952,-0.07729,0.0
1784180938,0.58972,-0.07791,0.0
1784180938,0.58943,-0.07621,0.0
1784180938,0.58942,-0.07557,0.0
1784180938,0.58907,-0.07664,0.0
1784180938,0.58735,-0.07864,0.0
1784180938,0.58746,-0.08129,0.0
1784180938,0.58736,-0.08305,0.0
